INT=21.07ºC PT1=19.09ºC PT2=838.71ºC
distance,temperature
"56.193","18.950"
"56.448","19.063"
"56.702","19.126"
"56.956","19.078"
"57.210","19.046"
"57.464","18.993"
"57.719","19.021"
"57.973","19.087"
"58.227","19.117"
"58.481","19.129"
"58.735","19.188"
"58.990","19.170"
"59.244","19.111"
"59.498","19.063"
"59.752","19.041"
"60.006","19.108"
"60.261","19.200"
"60.515","19.184"
"60.769","19.143"
"61.023","19.244"
"61.277","19.317"
"61.532","19.251"
"61.786","19.305"
"62.040","19.285"
"62.294","19.102"
"62.548","19.094"
"62.803","19.219"
"63.057","19.195"
"63.311","19.129"
"63.565","19.233"
"63.819","19.299"
"64.074","19.252"
"64.328","19.167"
"64.582","19.119"
"64.836","19.162"
"65.090","19.192"
"65.345","19.204"
"65.599","19.254"
"65.853","19.258"
"66.107","19.209"
"66.361","19.197"
"66.616","19.205"
"66.870","19.194"
"67.124","19.261"
"67.378","19.332"
"67.632","19.296"
"67.887","19.353"
"68.141","19.459"
"68.395","19.399"
"68.649","19.250"
"68.903","19.191"
"69.158","19.200"
"69.412","19.092"
"69.666","18.790"
"69.920","18.368"
"70.174","17.933"
"70.429","17.746"
"70.683","17.909"
"70.937","18.099"
"71.191","17.961"
"71.445","17.606"
"71.700","17.432"
"71.954","17.631"
"72.208","17.974"
"72.462","18.182"
"72.716","18.226"
"72.971","17.995"
"73.225","17.624"
"73.479","17.502"
"73.733","17.714"
"73.987","18.027"
"74.242","18.179"
"74.496","18.080"
"74.750","17.813"
"75.004","17.570"
"75.258","17.680"
"75.513","18.029"
"75.767","18.223"
"76.021","18.206"
"76.275","18.015"
"76.529","17.781"
"76.784","17.706"
"77.038","17.878"
"77.292","18.074"
"77.546","18.115"
"77.800","18.024"
"78.055","17.837"
"78.309","17.842"
"78.563","18.030"
"78.817","18.057"
"79.071","17.794"
"79.326","17.570"
"79.580","17.681"
"79.834","17.908"
"80.088","17.971"
"80.342","17.914"
"80.597","17.752"
"80.851","17.609"
"81.105","17.540"
"81.359","17.597"
"81.613","17.928"
"81.868","18.230"
"82.122","18.313"
"82.376","18.271"
"82.630","18.168"
"82.884","18.255"
"83.139","18.659"
"83.393","19.040"
"83.647","19.203"
"83.901","19.251"
"84.155","19.259"
"84.410","19.316"
"84.664","19.698"
"84.918","19.778"
"85.172","19.340"
"85.426","18.770"
"85.681","18.477"
"85.935","18.521"
"86.189","18.826"
"86.443","19.076"
"86.697","19.014"
"86.952","18.700"
